,Date,Score,Total_Comments,Open,High,Low,Close,Adjusted_Close,Volume
0,2020-12-31,27,520,19.25,19.8,18.8,18.84,18.84,6922700.0
4,2021-01-04,99,1411,19.0,19.1,17.15,17.25,17.25,10022500.0
5,2021-01-05,74,3480,17.35,18.08,17.23,17.37,17.37,4961500.0
6,2021-01-06,169,935,17.34,18.98,17.33,18.36,18.36,6056200.0
7,2021-01-07,65,858,18.47,19.45,18.02,18.08,18.08,6129300.0
8,2021-01-08,124,1371,18.18,18.3,17.08,17.69,17.69,6482000.0
11,2021-01-11,371,3621,19.41,20.65,19.01,19.94,19.94,14927600.0
12,2021-01-12,261,1971,19.96,20.4,19.32,19.95,19.95,7060700.0
13,2021-01-13,6463,20506,20.42,38.65,20.03,31.4,31.4,144501700.0
14,2021-01-14,4388,20726,38.09,43.06,33.05,39.91,39.91,93717400.0
15,2021-01-15,5996,19229,38.49,40.75,34.01,35.5,35.5,46866400.0
19,2021-01-19,4575,69424,41.55,45.52,36.64,39.36,39.36,74721900.0
20,2021-01-20,2384,48065,37.37,41.19,36.06,39.12,39.12,33471800.0
21,2021-01-21,1603,72954,39.23,44.75,37.0,43.03,43.03,57079800.0
22,2021-01-22,1946,166678,42.59,76.76,42.32,65.01,65.01,197157900.0
25,2021-01-25,4270,7203,96.73,159.18,61.13,76.79,76.79,177874000.0
26,2021-01-26,1049,2122,88.56,150.0,80.2,147.98,147.98,178588000.0
27,2021-01-27,169399,490022,354.83,380.0,249.0,347.51,347.51,93396700.0
28,2021-01-28,52763,590417,265.0,483.0,112.25,193.6,193.6,58815800.0
29,2021-01-29,13665,397102,379.71,413.98,250.0,325.0,325.0,50259200.0
32,2021-02-01,1304888,458646,316.56,322.0,212.0,225.0,225.0,37382200.0
33,2021-02-02,1158005,398442,140.76,158.0,74.22,90.0,90.0,78183100.0
34,2021-02-03,789329,199717,112.01,113.4,85.25,92.41,92.41,42698500.0
35,2021-02-04,561617,146102,91.19,91.5,53.33,53.5,53.5,62427300.0
37,2021-02-08,936,16983,72.41,72.66,58.02,60.0,60.0,25687300.0
38,2021-02-09,2698,37443,56.61,57.0,46.52,50.31,50.31,26843100.0
39,2021-02-10,6989,46384,50.77,62.83,46.55,51.2,51.2,36455000.0
40,2021-02-11,572,19809,50.01,55.32,48.22,51.1,51.1,12997400.0
41,2021-02-12,476,13683,50.75,55.24,48.05,52.4,52.4,14498000.0
45,2021-02-16,69,759,52.66,53.5,49.04,49.51,49.51,8175000.0
46,2021-02-17,205,92680,49.77,51.19,44.56,45.94,45.94,9186800.0
47,2021-02-18,468,7833,48.49,48.87,40.65,40.69,40.69,23990600.0
48,2021-02-19,346,19929,41.28,43.89,38.5,40.59,40.59,14828200.0
51,2021-02-22,1719,35791,46.69,48.51,42.4,46.0,46.0,19476000.0
52,2021-02-23,103093,44297,44.97,46.23,40.0,44.97,44.97,7565200.0
53,2021-02-24,233273,217876,44.7,91.71,44.7,91.71,91.71,83111700.0
54,2021-02-25,499844,372427,169.56,184.68,101.0,108.73,108.73,150308800.0
55,2021-02-26,134315,264171,117.46,142.9,86.0,101.74,101.74,91963000.0
57,2021-03-02,84540,49786,116.93,133.2,112.2,118.18,118.18,33640400.0
58,2021-03-03,154569,28100,122.51,127.75,113.12,124.18,124.18,19173700.0
59,2021-03-04,224109,85060,125.0,147.87,115.3,132.35,132.35,32473600.0
60,2021-03-05,148,61,128.17,151.53,127.5,137.74,137.74,30660200.0
62,2021-03-08,883,18615,154.89,210.87,146.1,194.5,194.5,63424800.0
63,2021-03-09,1450,98667,217.71,249.85,208.51,246.9,246.9,38725800.0
64,2021-03-10,2584,220098,269.43,348.5,172.0,265.0,265.0,71361900.0
65,2021-03-11,1126,90457,241.64,281.5,232.6,260.0,260.0,28186000.0
66,2021-03-12,1093,69395,275.0,295.5,262.27,264.5,264.5,25760700.0
